"constituency","lon","lat"
"Val-de-Marne Ile-de-France",2.4740337,48.7931426
"Dordogne Aquitaine",0.7572205,45.1469486
"Hautes-Alpes Provence-Alpes-Côte d'Azur",6.3226072,44.6008723
"Essonne Ile-de-France",2.1569416,48.4585698
"Ain Rhône-Alpes",5.1307681,46.2475706
"Lozère Languedoc-Roussillon",3.5812692,44.494203
"Drôme Rhône-Alpes",5.2266675,44.7311896
"Eure-et-Loir Centre",1.1989814,48.5525242
"Seine-et-Marne Ile-de-France",2.999366,48.841082
"Finistère Bretagne",-3.9300525,48.2520249
"Haut-Rhin Alsace",7.2441099,47.9315041
"Charente Poitou-Charentes",0.1534761,45.7519958
"Corrèze Limousin",1.873739,45.372114
"Yonne Bourgogne",3.6079823,47.8652728
"Côtes-d'Armor Bretagne",-3.3263676,48.5108101
"Pas-de-Calais Nord-Pas-de-Calais",2.3244679,50.5732769
"Eure Haute-Normandie",0.9582114,49.1181763
"Pyrénées-Orientales Languedoc-Roussillon",2.539603,42.6012912
"Doubs Franche-Comté",6.349001,46.9276
"Haute-Loire Auvergne",3.9266366,45.0821226
"Hérault Languedoc-Roussillon",3.2583626,43.5912356
"Rhône Rhône-Alpes",4.6108043,45.7351456
"Lot-et-Garonne Aquitaine",0.4502368,44.2470173
"Loiret Centre",2.2018172,47.900771
"Landes Aquitaine",-0.7532809,43.9412045
"Oise Picardie",2.4146396,49.4214568
"Ardèche Rhône-Alpes",4.5624426,44.759629
"Sarthe PaysLoire",0.1655803,47.9217014
"Territoire de Belfort Franche-Comté",6.9207716,47.5946573
"Isère Rhône-Alpes",5.9293476,44.9957745
"Var Provence-Alpes-Côte d'Azur",6.2375947,43.467646
"Aude Languedoc-Roussillon",2.3813621,43.0724667
"Loire Rhône-Alpes",4.052545,45.9846475
"Loire-Atlantique PaysLoire",-1.8157647,47.2780468
"Vendée PaysLoire",-1.4482662,46.6613966
"Alpes-Maritimes Provence-Alpes-Côte d'Azur",7.179026,43.9466791
"Hauts-de-Seine Ile-de-France",2.2188068,48.828508
"Val-d'Oise Ile-de-France",2.1581351,49.0615901
"Haute-Vienne Limousin",1.4025484,45.7435173
"Somme Picardie",2.2707095,49.914518
"Allier Auvergne",3.4167655,46.3115552
"Marne Champagne-Ardenne",4.1475445,49.128754
"Meurthe-et-Moselle Lorraine",6.0947014,48.7997007
"Alpes de Haute-Provence Provence-Alpes-Côte d'Azur",6.2375947,44.0778716
"Yvelines Ile-de-France",1.8256572,48.7850939
"Vaucluse Provence-Alpes-Côte d'Azur",5.1432068,44.0565054
"Calvados Basse-Normandie",-0.4330578,49.1213315
"Hautes-Pyrénées Midi-Pyrénées",0.1494988,43.0193924
"Nièvre Bourgogne",3.5294522,47.2381708
"Pyrénées-Atlantiques Aquitaine",-0.7532809,43.3269942
"Aveyron Midi-Pyrénées",2.6189273,44.2179747
"Seine-Maritime Haute-Normandie",0.9748439,49.6054187
"Vienne Poitou-Charentes",0.4772865,46.6695417
"Gard Languedoc-Roussillon",4.1513764,43.9446996
"Orne Basse-Normandie",0.0848201,48.6388567
"Loir-et-Cher Centre",1.4159072,47.6761905
"Bas-Rhin Alsace",7.5252938,48.6343172
"Moselle Lorraine",6.5527641,49.0983839
"Haute-Marne Champagne-Ardenne",5.1071322,48.1260968
"Ille-et-Vilaine Bretagne",-1.5300695,48.2292016
"Morbihan Bretagne",-2.9001865,47.8852929
"Côte-d'Or Bourgogne",4.635412,47.5126795
"Ardennes Champagne-Ardenne",5.4100979,50.0288711
"Cantal Auvergne",2.6326062,45.1191997
"Haute-Saône Franche-Comté",6.1556282,47.7569806
"Meuse Lorraine",5.2823997,49.0824319
"Creuse Limousin",2.0627832,46.0377633
"Indre Centre",1.4482662,46.6613966
"Lot Midi-Pyrénées",1.6760691,44.5379358
"Mayotte Mayotte",-1.1516797,44.4314206
"Gers Midi-Pyrénées",0.4502368,43.6366479
"Vosges Lorraine",6.3355935,48.1446427
"Cher Centre",2.4671908,46.954005
"Savoie Rhône-Alpes",5.742806,44.771079
"Haute-Corse Corse",9.2785583,42.4097877
